filepath,instrument,source,note,octave
FatBoy/acoustic_bass-mp3/C4.mp3,acoustic_bass,FatBoy,C,4
FatBoy/acoustic_bass-mp3/C5.mp3,acoustic_bass,FatBoy,C,5
FatBoy/acoustic_bass-mp3/C6.mp3,acoustic_bass,FatBoy,C,6
FatBoy/acoustic_bass-mp3/C7.mp3,acoustic_bass,FatBoy,C,7
FatBoy/acoustic_bass-mp3/C8.mp3,acoustic_bass,FatBoy,C,8
FatBoy/acoustic_bass-mp3/D1.mp3,acoustic_bass,FatBoy,D,1
FatBoy/acoustic_bass-mp3/D2.mp3,acoustic_bass,FatBoy,D,2
FatBoy/acoustic_bass-mp3/D3.mp3,acoustic_bass,FatBoy,D,3
FatBoy/acoustic_bass-mp3/D4.mp3,acoustic_bass,FatBoy,D,4
FatBoy/acoustic_bass-mp3/D5.mp3,acoustic_bass,FatBoy,D,5
FatBoy/acoustic_bass-mp3/D6.mp3,acoustic_bass,FatBoy,D,6
FatBoy/acoustic_bass-mp3/D7.mp3,acoustic_bass,FatBoy,D,7
FatBoy/acoustic_bass-mp3/Db1.mp3,acoustic_bass,FatBoy,Db,1
FatBoy/acoustic_bass-mp3/Db2.mp3,acoustic_bass,FatBoy,Db,2
FatBoy/acoustic_bass-mp3/Db3.mp3,acoustic_bass,FatBoy,Db,3
FatBoy/acoustic_bass-mp3/Db4.mp3,acoustic_bass,FatBoy,Db,4
FatBoy/acoustic_bass-mp3/Db5.mp3,acoustic_bass,FatBoy,Db,5
FatBoy/acoustic_bass-mp3/Db6.mp3,acoustic_bass,FatBoy,Db,6
FatBoy/acoustic_bass-mp3/Db7.mp3,acoustic_bass,FatBoy,Db,7
FatBoy/acoustic_bass-mp3/E1.mp3,acoustic_bass,FatBoy,E,1
FatBoy/acoustic_bass-mp3/E2.mp3,acoustic_bass,FatBoy,E,2
FatBoy/acoustic_bass-mp3/E3.mp3,acoustic_bass,FatBoy,E,3
FatBoy/acoustic_bass-mp3/E4.mp3,acoustic_bass,FatBoy,E,4
FatBoy/acoustic_bass-mp3/E5.mp3,acoustic_bass,FatBoy,E,5
FatBoy/acoustic_bass-mp3/E6.mp3,acoustic_bass,FatBoy,E,6
FatBoy/acoustic_bass-mp3/E7.mp3,acoustic_bass,FatBoy,E,7
FatBoy/acoustic_bass-mp3/Eb1.mp3,acoustic_bass,FatBoy,Eb,1
FatBoy/acoustic_bass-mp3/Eb2.mp3,acoustic_bass,FatBoy,Eb,2
FatBoy/acoustic_bass-mp3/Eb3.mp3,acoustic_bass,FatBoy,Eb,3
FatBoy/acoustic_bass-mp3/Eb4.mp3,acoustic_bass,FatBoy,Eb,4
FatBoy/acoustic_bass-mp3/Eb5.mp3,acoustic_bass,FatBoy,Eb,5
FatBoy/acoustic_bass-mp3/Eb6.mp3,acoustic_bass,FatBoy,Eb,6
FatBoy/acoustic_bass-mp3/Eb7.mp3,acoustic_bass,FatBoy,Eb,7
FatBoy/acoustic_bass-mp3/F1.mp3,acoustic_bass,FatBoy,F,1
FatBoy/acoustic_bass-mp3/F2.mp3,acoustic_bass,FatBoy,F,2
FatBoy/acoustic_bass-mp3/F3.mp3,acoustic_bass,FatBoy,F,3
FatBoy/acoustic_bass-mp3/F4.mp3,acoustic_bass,FatBoy,F,4
FatBoy/acoustic_bass-mp3/F5.mp3,acoustic_bass,FatBoy,F,5
FatBoy/acoustic_bass-mp3/F6.mp3,acoustic_bass,FatBoy,F,6
FatBoy/acoustic_bass-mp3/F7.mp3,acoustic_bass,FatBoy,F,7
FatBoy/acoustic_bass-mp3/G1.mp3,acoustic_bass,FatBoy,G,1
FatBoy/acoustic_bass-mp3/G2.mp3,acoustic_bass,FatBoy,G,2
FatBoy/acoustic_bass-mp3/G3.mp3,acoustic_bass,FatBoy,G,3
FatBoy/acoustic_bass-mp3/G4.mp3,acoustic_bass,FatBoy,G,4
FatBoy/acoustic_bass-mp3/G5.mp3,acoustic_bass,FatBoy,G,5
FatBoy/acoustic_bass-mp3/G6.mp3,acoustic_bass,FatBoy,G,6
FatBoy/acoustic_bass-mp3/G7.mp3,acoustic_bass,FatBoy,G,7
FatBoy/acoustic_bass-mp3/Gb1.mp3,acoustic_bass,FatBoy,Gb,1
FatBoy/acoustic_bass-mp3/Gb2.mp3,acoustic_bass,FatBoy,Gb,2
FatBoy/acoustic_bass-mp3/Gb3.mp3,acoustic_bass,FatBoy,Gb,3
FatBoy/acoustic_bass-mp3/Gb4.mp3,acoustic_bass,FatBoy,Gb,4
FatBoy/acoustic_bass-mp3/Gb5.mp3,acoustic_bass,FatBoy,Gb,5
FatBoy/acoustic_bass-mp3/Gb6.mp3,acoustic_bass,FatBoy,Gb,6
FatBoy/acoustic_bass-mp3/Gb7.mp3,acoustic_bass,FatBoy,Gb,7
FatBoy/acoustic_grand_piano-mp3/A0.mp3,acoustic_grand_piano,FatBoy,A,0
FatBoy/acoustic_grand_piano-mp3/A1.mp3,acoustic_grand_piano,FatBoy,A,1
FatBoy/acoustic_grand_piano-mp3/A2.mp3,acoustic_grand_piano,FatBoy,A,2
FatBoy/acoustic_grand_piano-mp3/A3.mp3,acoustic_grand_piano,FatBoy,A,3
FatBoy/acoustic_grand_piano-mp3/A4.mp3,acoustic_grand_piano,FatBoy,A,4
FatBoy/acoustic_grand_piano-mp3/A5.mp3,acoustic_grand_piano,FatBoy,A,5
