collection,col,power
pierrevallee,117,0.028789331315552193
pierrevallee,118,0.02
pierrevallee,119,0.13
pierrevallee,120,0.17117201862003104
pierrevallee,121,0.33
pierrevallee,122,0.35
pierrevallee,123,0.32438394063990106
pierrevallee,124,3.44
pierrevallee,125,0.39
pierrevallee,126,0.39609199348665586
pierrevallee,127,0.37
pierrevallee,128,0.17
pierrevallee,129,0.22133333555555926
pierrevallee,130,0.33
pierrevallee,131,0.19
pierrevallee,132,0.15
pierrevallee,133,0.14
pierrevallee,134,0.12
pierrevallee,135,0.17302665504442505
pierrevallee,136,0.19
pierrevallee,137,0.29
pierrevallee,138,0.3400000000000001
pierrevallee,139,0.31
pierrevallee,140,0.34
pierrevallee,141,0.26126398543997575
pierrevallee,142,0.15
pierrevallee,143,1.08
zhannadosmailova,0,0.0
zhannadosmailova,1,0.0
zhannadosmailova,2,0.01
zhannadosmailova,3,0.01
zhannadosmailova,4,0.01
zhannadosmailova,5,0.01
zhannadosmailova,6,0.010668671159379056
zhannadosmailova,7,0.01
zhannadosmailova,8,0.01
zhannadosmailova,9,0.010000000000000002
zhannadosmailova,10,0.01
zhannadosmailova,11,0.01
zhannadosmailova,12,0.018663314248003784
zhannadosmailova,13,0.01
zhannadosmailova,14,0.01
zhannadosmailova,15,0.011670187996949492
zhannadosmailova,16,0.01
zhannadosmailova,17,0.01
zhannadosmailova,18,0.01
zhannadosmailova,19,0.010000000000000002
zhannadosmailova,20,0.01
zhannadosmailova,21,0.010000000000000002
zhannadosmailova,22,0.01
zhannadosmailova,23,0.01
zhannadosmailova,24,0.01
zhannadosmailova,25,0.01
zhannadosmailova,26,0.01
zhannadosmailova,27,0.01
zhannadosmailova,28,0.01
zhannadosmailova,29,0.01
zhannadosmailova,30,0.01
zhannadosmailova,31,0.02
zhannadosmailova,32,0.01
zhannadosmailova,33,0.01
zhannadosmailova,34,0.01
zhannadosmailova,35,0.01
zhannadosmailova,36,0.01
zhannadosmailova,37,0.01
zhannadosmailova,38,0.01
zhannadosmailova,39,0.01
zhannadosmailova,40,0.01
zhannadosmailova,41,0.01
zhannadosmailova,42,0.01
zhannadosmailova,43,0.02
zhannadosmailova,44,0.01
zhannadosmailova,45,0.01
zhannadosmailova,46,0.01
zhannadosmailova,47,0.01
zhannadosmailova,48,0.01
zhannadosmailova,49,0.03
zhannadosmailova,50,0.0976046929371935
zhannadosmailova,51,0.36889841565389836
zhannadosmailova,52,0.23
zhannadosmailova,53,0.213998474744907
zhannadosmailova,54,0.1865074688677927
zhannadosmailova,55,0.09
zhannadosmailova,56,0.0702757580399967
zhannadosmailova,57,0.034404687549979045
zhannadosmailova,58,0.02
zhannadosmailova,59,0.15873183288187354
zhannadosmailova,60,0.16643517918380335
zhannadosmailova,61,0.07
zhannadosmailova,62,0.06359130234225985
zhannadosmailova,63,0.056769186480111915
zhannadosmailova,64,0.06
zhannadosmailova,65,0.1003190914462819
zhannadosmailova,66,0.17000000000000004
zhannadosmailova,67,0.37
zhannadosmailova,68,0.2204317010634698
zhannadosmailova,69,0.09206040750910355
zhannadosmailova,70,0.04
zhannadosmailova,71,0.10135384066303142
zhannadosmailova,72,0.1368789004695294
zhannadosmailova,73,0.31
zhannadosmailova,74,0.3312303387716141
zhannadosmailova,75,0.22037877168143383
